"job_title","company_name","location","experience","salary","skills","job_description"
"Accountant","Sundaram Finance","Chennai","2-5 years","5 LPA","tally;gst;financial reporting","Accountant role for compliance, reporting, and ledger management."
"Accountant","TVS Motor","Coimbatore","1-3 years","3 LPA","Tally;GST;Excel","Accountant needed at TVS Motor in Coimbatore. Skills required: Tally;GST;Excel. Immediate joiner preferred."
"Business Analyst","Accenture","Chennai","2-5 years","9 LPA","requirements;sql;stakeholder management","Business Analyst role bridging product, business, and engineering teams."
"Civil Engineer","Ashok Leyland","Coimbatore","2-4 years","6 LPA","AutoCAD;Site Management","Civil Engineer needed at Ashok Leyland in Coimbatore. Skills required: AutoCAD;Site Management. Immediate joiner preferred."
"Civil Engineer","Ashok Leyland","Tirunelveli","2-4 years","6 LPA","AutoCAD;Site Management","Civil Engineer needed at Ashok Leyland in Tirunelveli. Skills required: AutoCAD;Site Management. Immediate joiner preferred."
"Civil Engineer","Cognizant","Coimbatore","1-3 years","2 LPA","AutoCAD;Site Management","Civil Engineer needed at Cognizant in Coimbatore. Skills required: AutoCAD;Site Management. Immediate joiner preferred."
"Civil Engineer","Cognizant","Tiruchirappalli","3-5 years","6 LPA","AutoCAD;Site Management","Civil Engineer needed at Cognizant in Tiruchirappalli. Skills required: AutoCAD;Site Management. Immediate joiner preferred."
"Civil Engineer","TCS","Salem","0-1 years","2 LPA","AutoCAD;Site Management","Civil Engineer needed at TCS in Salem. Skills required: AutoCAD;Site Management. Immediate joiner preferred."
"Cloud Engineer","HCLTech","Chennai","2-5 years","11 LPA","azure;terraform;kubernetes","Cloud Engineer role managing scalable cloud platforms and IaC."
"Customer Support Executive","Sutherland","Chennai","0-2 years","3 LPA","communication;crm;customer handling","Customer Support role for voice and email issue resolution."
"Data Analyst","Freshworks","Erode","0-1 years","4 LPA","SQL;Python;Excel","Data Analyst needed at Freshworks in Erode. Skills required: SQL;Python;Excel. Immediate joiner preferred."
"Data Analyst","HCLTech","Vellore","0-1 years","2 LPA","SQL;Python;Excel","Data Analyst needed at HCLTech in Vellore. Skills required: SQL;Python;Excel. Immediate joiner preferred."
"Data Analyst","Infosys","Madurai","1-3 years","3 LPA","SQL;Python;Excel","Data Analyst needed at Infosys in Madurai. Skills required: SQL;Python;Excel. Immediate joiner preferred."
"Data Analyst","Zoho","Erode","0-1 years","5 LPA","SQL;Python;Excel","Data Analyst needed at Zoho in Erode. Skills required: SQL;Python;Excel. Immediate joiner preferred."
"Data Scientist","Cognizant","Chennai","3-6 years","12 LPA","python;machine learning;pandas","Data Scientist role for predictive modeling and analytics solutions."
"DevOps Engineer","Wipro","Coimbatore","3-5 years","10 LPA","aws;docker;ci/cd","DevOps Engineer role for cloud infrastructure and deployment automation."
"Digital Marketing Executive","Rane","Trichy","1-3 years","4 LPA","seo;sem;social media","Digital Marketing role handling online campaigns and lead generation."
"Digital Marketing Specialist","Freshworks","Chennai","1-3 years","5 LPA","SEO;Social Media;Ads","Digital Marketing Specialist needed at Freshworks in Chennai. Skills required: SEO;Social Media;Ads. Immediate joiner preferred."
"Digital Marketing Specialist","HCLTech","Madurai","2-4 years","3 LPA","SEO;Social Media;Ads","Digital Marketing Specialist needed at HCLTech in Madurai. Skills required: SEO;Social Media;Ads. Immediate joiner preferred."
"Digital Marketing Specialist","Infosys","Chennai","1-3 years","4 LPA","SEO;Social Media;Ads","Digital Marketing Specialist needed at Infosys in Chennai. Skills required: SEO;Social Media;Ads. Immediate joiner preferred."
"Digital Marketing Specialist","Sundaram Finance","Madurai","3-5 years","2 LPA","SEO;Social Media;Ads","Digital Marketing Specialist needed at Sundaram Finance in Madurai. Skills required: SEO;Social Media;Ads. Immediate joiner preferred."
"Digital Marketing Specialist","TCS","Tirunelveli","2-4 years","4 LPA","SEO;Social Media;Ads","Digital Marketing Specialist needed at TCS in Tirunelveli. Skills required: SEO;Social Media;Ads. Immediate joiner preferred."
"Digital Marketing Specialist","TCS","Vellore","0-1 years","4 LPA","SEO;Social Media;Ads","Digital Marketing Specialist needed at TCS in Vellore. Skills required: SEO;Social Media;Ads. Immediate joiner preferred."
"Electrical Engineer","L&T","Chennai","2-5 years","7 LPA","electrical design;testing;plc","Electrical Engineer role for industrial systems design and testing."
"Electrician","Freshworks","Coimbatore","3-5 years","3 LPA","Electrical Wiring;Maintenance","Electrician needed at Freshworks in Coimbatore. Skills required: Electrical Wiring;Maintenance. Immediate joiner preferred."
"Electrician","Infosys","Vellore","1-3 years","4 LPA","Electrical Wiring;Maintenance","Electrician needed at Infosys in Vellore. Skills required: Electrical Wiring;Maintenance. Immediate joiner preferred."
"Electrician","TVS Motor","Erode","0-1 years","6 LPA","Electrical Wiring;Maintenance","Electrician needed at TVS Motor in Erode. Skills required: Electrical Wiring;Maintenance. Immediate joiner preferred."
"Electrician","TVS Motor","Vellore","3-5 years","2 LPA","Electrical Wiring;Maintenance","Electrician needed at TVS Motor in Vellore. Skills required: Electrical Wiring;Maintenance. Immediate joiner preferred."
"Financial Analyst","ICICI Bank","Chennai","2-4 years","8 LPA","excel;valuation;reporting","Financial Analyst role for portfolio insights and business reporting."
"Frontend Developer","Zoho","Chennai","1-3 years","7 LPA","react;javascript;css","Frontend Developer role building React web applications and dashboards."
